StruCluster	accession	tSNE1	tSNE2	Taxonomic.lineage	Organism	Phylum	seqid	alntmscore
SC13	A0A1V3P2U6	96.362045	53.469887	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. C06	Pseudomonadota	0.536	0.9556
SC13	A0A011N461	96.306564	-16.472042	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter adjunctus	Pseudomonadota	0.875	0.9945
SC13	A0A011PU73	92.44176	-15.961943	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Accumulibacter regalis	Pseudomonadota	0.937	0.9972
SC13	A0A014P0A0	89.23715	18.75856	Comamonas aquatica (species), Comamonas (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Comamonas aquatica DA1877	Pseudomonadota	0.48	0.9733
SC13	A0A015MQ07	75.301346	40.96492	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus darwinianus	Bacillota	0.434	0.9611
SC13	A0A060B9Q6	72.51253	50.469425	Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas campaniensis	Pseudomonadota	0.538	0.9589
SC13	A0A063Y2Y2	88.67321	43.05022	Nitrincola (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Nitrincola lacisaponensis	Pseudomonadota	0.538	0.9709
SC13	A0A075K1Q8	99.51938	50.282585	Dyella japonica (species), Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella japonica A8	Pseudomonadota	0.514	0.9551
SC13	A0A075K5I5	99.09809	16.081669	Dyella japonica (species), Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella japonica A8	Pseudomonadota	0.519	0.9676
SC13	A0A080MDA4	92.39326	-15.946894	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter cognatus	Pseudomonadota	0.894	0.9808
SC13	A0A081FYI5	89.24382	43.55321	unclassified Marinobacterium (no rank), Marinobacterium (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacterium sp. AK27	Pseudomonadota	0.527	0.955
SC13	A0A081P4J8	78.53233	42.66449	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus tyrfis	Bacillota	0.428	0.9571
SC13	A0A090AIP8	-89.491806	78.66034	Thioploca (genus), Thiotrichaceae (family), Thiotrichales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thioploca ingrica	Pseudomonadota	0.564	0.959
